id,product_title,product_id,threepk
1,Fit & Fierce 3 Item,91236171794,t
2,Fit & Fierce 3 Item autonrenew,113252532242,t
3,Fit & Fierce 5 Item,91235975186,f
4,Fit & Fierce 5 Item autonrenew,113252466706,f
5,Power Moves - 3 Item,69026938898,t
6,Power Moves - 5 Item,69026316306,f
7,Power Moves 3 Item autorenew,112433299474,t
8,Power Moves 5 Item autorenew,112433004562,f
9,Go Time - 3 Item,52386037778,t
10,Go Time - 5 Item,78480408594,f
11,Go Time - 3 Item autorenew,91049066514,t
12,Go Time - 5 Item autorenew,91049197586,f
13,Go Time2 - 5 Item autorenew,91049230354,f
14,La Vie En Rose 3 Item,138427301906,t
15,La Vie En Rose 5 Item,138427203602,f
16,La Vie En Rose 3 Item Auto Renew,159581274130,t
17,La Vie En Rose 5 Item Auto Renew,159580848146,f
18,In the Zone - 3 Item,175540207634,t
19,In the Zone - 5 Item,175535685650,f
20,In the Zone - 3 Item Auto Renew,187757723666,t
21,In the Zone - 5 Item Auto Renew,187802026002,f
22,Desert Sage 3 Item,197985992722,t
23,Desert Sage 5 Item,197983830034,f
24,Desert Sage 3 Item Auto Renew,197985992722,t
25,Desert Sage 5 Item Auto Renew,210212356114,f
26,May Flowers 3 Item,207131443218,t
27,May Flowers 5 Item,207131279378,f
28,May Flowers 3 Item Auto Renew,219709145106,t
29,May Flowers 5 Item Auto Renew,219709276178,f
30,Rose All Day 3 Item,224674119698,t
31,Rose All Day 5 Item,224674086930,f
32,Rose All Day 3 Item Autorenew,224675037202,t
33,Rose All Day 5 Item Autorenew,224674971666,f
34,Print Paradise 3 Item,1446651330618,t
35,Print Paradise 5 Item,1446647234618,f
36,Print Paradise 3 Item Auto renew,1508549427258,t
37,Print Paradise 5 Item Auto renew,1508553392186,f
38,Meet Your Match 3 Item,1719732535354,t
39,Meet Your Match 5 Item,1719728111674,f
40,Meet your Match 3 Item Auto renew,1778624921658,t
41,Meet your Match 5 Item Auto renew,1778619449402,f
42,Vinyasa Vibes 3 Item,1828555587642,t
43,Vinyasa Vibes 5 Item,1828550213690,f
44,Vinyasa Vibes 3 Item Auto renew,1828595367994,t
45,Vinyasa Vibes 5 Item Auto renew,1828594090042,f
